magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,continent,country
7.9,21-04-1997 21:02,5,6,yellow,1,1253,us,0,0,0,Mww,33,-12.3504,166.4056,Asia,Japan
6.3,30-09-1997 15:27,5,5,yellow,1,596,jp,0,0,0,Mww,52,31.592,142.2678,Asia,Japan
7.6,05-12-1997 20:26,5,5,yellow,1,1129,us,0,0,0,Mww,33,54.5046,162.021,Asia,Japan
7.7,04-05-1998 08:30,8,8,orange,1,1170,jp,0,0,0,Mww,35,22.2277,125.2621,Asia,Japan
7.1,17-07-1998 17:49,1,2,green,0,924,us,0,0,0,Mww,10,-2.5766,141.5556,Asia,Japan
7.7,29-11-1998 23:10,5,5,yellow,1,1170,us,0,0,0,Mww,33,-2.0426,124.5346,Asia,Japan
7.7,21-09-1999 02:47,2,2,green,0,1170,jp,0,0,0,Mww,0,23.5262,120.5589,Asia,Japan
7.3,26-11-1999 22:21,1,1,green,0,1006,us,0,0,0,Mww,33,-16.2538,168.1284,Asia,Japan
6.5,01-07-2000 16:01,1,2,green,0,678,jp,0,0,0,Mww,1606,34.114,139.1161,Asia,Japan
6.1,09-07-2000 03:57,1,1,green,0,514,jp,0,0,0,Mww,1536,34.1271,139.1383,Asia,Japan
6.3,15-07-2000 10:30,1,1,green,0,596,jp,0,0,0,Mww,970,34.254,139.1451,Asia,Japan
5.7,24-07-2000 06:52,2,1,green,0,349,jp,0,0,0,Mww,1175,34.1129,139.1345,Asia,Japan
5.8,27-07-2000 10:49,2,1,green,0,390,jp,0,0,0,Mww,1276,34.1141,139.1752,Asia,Japan
6,30-07-2000 09:18,1,2,green,0,473,jp,0,0,0,Mww,1112,34.0182,139.2412,Asia,Japan
6.5,30-07-2000 21:25,1,1,green,0,678,jp,0,0,0,Mww,1704,33.5827,139.2465,Asia,Japan
8.2,16-11-2000 13:54,2,2,green,0,1376,us,0,0,0,Mww,33,-3.588,152.1014,Asia,Japan
7.8,16-11-2000 16:42,2,2,green,0,1212,us,0,0,0,Mww,30,-5.1398,153.0612,Asia,Japan
7.2,01-01-2001 15:57,1,1,green,0,965,us,0,0,0,Mww,33,6.5388,126.3474,Asia,Japan
6.6,15-04-2001 08:27,1,1,green,0,719,jp,0,0,0,Mww,0,30.1487,142.2977,Asia,Japan
6.9,25-05-2001 09:40,1,2,green,0,842,jp,0,0,0,Mww,30,44.1897,148.488,Asia,Japan
8.2,24-06-2001 05:33,1,1,green,0,1376,us,0,0,0,Mww,33,-16.159,-73.3846,Asia,Japan
6.4,18-08-2001 07:25,2,1,green,0,637,jp,0,0,0,Mww,18,25.4543,126.1843,Asia,Japan
7.3,13-10-2001 00:02,2,2,green,0,1006,us,0,0,0,Mww,37,12.4116,144.588,Asia,Japan
6,09-12-2001 05:29,1,2,green,0,473,jp,0,0,0,Mww,36,28.1497,129.2934,Asia,Japan
7.3,18-12-2001 13:02,5,5,yellow,1,1006,jp,0,0,0,Mww,8,23.5361,122.4891,Asia,Japan
5.4,12-01-2002 09:18,2,2,green,0,226,jp,0,0,0,Mww,857,25.4484,125.137,Asia,Japan
7.2,06-03-2002 06:16,2,2,green,0,965,us,0,0,0,Mww,31,6.0198,124.1494,Asia,Japan
